"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Ghana","child_iron",2,5,"rf","domain_index","rf","domain_index",0.354053876453722,0.532028513512663,0.291360584174808,0.991059034986844
"Ghana","child_iron",3,5,"rf","domain_index","domain_index","rf",0.505903925737606,0.531839195221471,0.350529761896067,0.375166215359602
"Ghana","child_iron",3,1,"rf","domain_index","rf","domain_index",0.488050863667059,0.572418883044284,0.395938346711281,0.991764910010315
"Ghana","child_iron",3,4,"rf","domain_index","domain_index","enet",0.682132109339846,0.655440519894331,0.467223347981086,0.00246045559766148
"Ghana","child_iron",3,3,"rf","domain_index","enet","enet",0.528649677424261,0.446518426148067,0.0585639076948148,0.00246045559766148
"Ghana","child_iron",3,2,"rf","rf","rf","rf",0.136742915639987,0.186983949484532,0,0.00854361139190918
"Ghana","child_iron",4,1,"enet","rf","rf","rf",0.356710808375824,0.320175205366157,0.0768233349982959,0.276181604643595
"Ghana","child_iron",4,2,"rf","rf","rf","rf",0.392626557373783,0.263949127568915,0.0605345329600077,0.00246045559766148
"Ghana","child_iron",4,4,"rf","domain_index","domain_index","domain_index",0.702341781467409,1,0.620086346423779,0.785116641114914
"Ghana","child_iron",4,3,"rf","domain_index","domain_index","domain_index",0.563006527559951,0.908099766568314,0.773380659867066,0.992618633207016
"Ghana","child_iron",4,5,"rf","domain_index","enet","rf",0.276428837478442,0.360406601512068,0.324877189625621,0.00331841113082662
"Ghana","child_iron",5,2,"enet","domain_index","domain_index","domain_index",0.620392063347623,0.861381156511639,0.725686424412958,0.955418217723972
"Ghana","child_iron",5,3,"rf","domain_index","domain_index","domain_index",0.271679560822215,0.943131245417714,0.805126066328009,0.992618633207016
"Ghana","child_iron",5,5,"rf","domain_index","domain_index","rf",0.623546350908131,0.880483273901317,0.443751128998624,0.571483934729701
"Ghana","child_iron",5,1,"rf","rf","rf","domain_index",0.346367647341254,0.445985301250157,0,0.992618633207016
"Ghana","child_iron",5,4,"rf","domain_index","rf","rf",0.254796471048309,0.461965398711885,0.170217865283487,0.00246045559766148
"Ghana","women_iron",1,1,"rf","domain_index","domain_index","domain_index",0.256914389316928,0.531000628085211,0.772930903399875,0.543988000816551
"Ghana","women_iron",1,3,"enet","domain_index","domain_index","domain_index",0.232319978141808,0.668059918568538,0.654265003815545,0.230058229658699
"Ghana","women_iron",1,4,"rf","rf","rf","rf",0.079036334788693,0.305404602532204,0.456179191627258,0.302610643559454
"Ghana","women_iron",1,5,"rf","rf","rf","domain_index",0.0212986129217866,0.307223095991719,0.33390512656234,0.273397214877552
"Ghana","women_iron",1,2,"rf","enet","enet","rf",0.0988329115271169,0.263981678596858,0.27959393404105,0.00182624415443448
"Ghana","women_iron",2,2,"rf","rf","rf","domain_index",0.00379985521411431,0.121861110014561,0.439915692097318,0.992618633207016
"Ghana","women_iron",2,3,"mean","domain_index","domain_index","rf",0.163941040673621,0.821933287698332,1,0.949916345999841
"Ghana","women_iron",2,1,"rf","rf","domain_index","domain_index",0.0306429659330134,0.339914764686341,0.509795873858936,0.0341999208583659
"Ghana","women_iron",2,4,"rf","rf","rf","domain_index",0.264319561122721,0.386681299619789,0.456578521448501,0.221809078634901
"Ghana","women_iron",2,5,"rf","domain_index","domain_index","domain_index",0.179497127299828,0.528076351404235,0.577177643228151,0.165479867362561
"Ghana","women_iron",3,5,"rf","rf","rf","domain_index",0.193827765635929,0.453417792739475,0.504633331230646,0.992618633207016
"Ghana","women_iron",3,1,"rf","domain_index","domain_index","domain_index",0.127266539713465,0.523603094439682,0.600192680272806,0.992618633207016
"Ghana","women_iron",3,4,"rf","rf","rf","domain_index",0.163238184042294,0.340676371110219,0.298459607665455,0.992618633207016
"Ghana","women_iron",3,3,"rf","rf","rf","domain_index",0.136489214940917,0.378380160320727,0.475956403279837,0.236397763716666
